file_path,dataset_source,modality,label,label_int,split,format
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2773764.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5790567.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4174420.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6873647.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3487934.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_1964638.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6630316.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4813834.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6280709.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_9240035.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6262648.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3245414.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6973797.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3354668.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3513335.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_5748042.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6938612.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8796692.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8854421.flac,archive_(1)_ASVspoof2019_LA,audio,spoof,1,train,.flac
C:\Users\paruc\Downloads\archive (1)\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_6610055.flac,archive_(1)_ASVspoof2019_LA,audio,bonafide,0,train,.flac
